cement,furnaceSlag,flyAsh,water,superplasticizer,coarseAggregate,fineAggregate,Total_density,%_cement,%_furnaceSlag,%_flyAsh,%_water,%_superplast,%_coarseAGG,%_fineAgg,day,compressive strength
540,0,0,162,2.5,1040,676,2420.5,0.223094402,0,0,0.066928321,0.001032844,0.429663293,0.27928114,28,79.99
540,0,0,162,2.5,1055,676,2435.5,0.221720386,0,0,0.066516116,0.001026483,0.433175939,0.277561076,28,61.89
332.5,142.5,0,228,0,932,594,2229,0.149170031,0.063930013,0,0.102288022,0,0.41812472,0.266487214,270,40.27
332.5,142.5,0,228,0,932,594,2229,0.149170031,0.063930013,0,0.102288022,0,0.41812472,0.266487214,365,41.05
198.6,132.4,0,192,0,978.4,825.5,2326.9,0.085349607,0.056899738,0,0.082513215,0,0.420473591,0.354763849,360,44.3
266,114,0,228,0,932,670,2210,0.120361991,0.05158371,0,0.103167421,0,0.421719457,0.303167421,90,47.03
380,95,0,228,0,932,594,2229,0.170480036,0.042620009,0,0.102288022,0,0.41812472,0.266487214,365,43.7
380,95,0,228,0,932,594,2229,0.170480036,0.042620009,0,0.102288022,0,0.41812472,0.266487214,28,36.45
266,114,0,228,0,932,670,2210,0.120361991,0.05158371,0,0.103167421,0,0.421719457,0.303167421,28,45.85
475,0,0,228,0,932,594,2229,0.213100045,0,0,0.102288022,0,0.41812472,0.266487214,28,39.29
198.6,132.4,0,192,0,978.4,825.5,2326.9,0.085349607,0.056899738,0,0.082513215,0,0.420473591,0.354763849,90,38.07
198.6,132.4,0,192,0,978.4,825.5,2326.9,0.085349607,0.056899738,0,0.082513215,0,0.420473591,0.354763849,28,28.02
427.5,47.5,0,228,0,932,594,2229,0.19179004,0.021310004,0,0.102288022,0,0.41812472,0.266487214,270,43.01
190,190,0,228,0,932,670,2210,0.085972851,0.085972851,0,0.103167421,0,0.421719457,0.303167421,90,42.33
304,76,0,228,0,932,670,2210,0.137556561,0.03438914,0,0.103167421,0,0.421719457,0.303167421,28,47.81
380,0,0,228,0,932,670,2210,0.171945701,0,0,0.103167421,0,0.421719457,0.303167421,90,52.91
139.6,209.4,0,192,0,1047,806.9,2394.9,0.058290534,0.087435801,0,0.080170362,0,0.437179005,0.336924297,90,39.36
342,38,0,228,0,932,670,2210,0.154751131,0.01719457,0,0.103167421,0,0.421719457,0.303167421,365,56.14
380,95,0,228,0,932,594,2229,0.170480036,0.042620009,0,0.102288022,0,0.41812472,0.266487214,90,40.56
475,0,0,228,0,932,594,2229,0.213100045,0,0,0.102288022,0,0.41812472,0.266487214,180,42.62
427.5,47.5,0,228,0,932,594,2229,0.19179004,0.021310004,0,0.102288022,0,0.41812472,0.266487214,180,41.84
139.6,209.4,0,192,0,1047,806.9,2394.9,0.058290534,0.087435801,0,0.080170362,0,0.437179005,0.336924297,28,28.24
139.6,209.4,0,192,0,1047,806.9,2394.9,0.058290534,0.087435801,0,0.080170362,0,0.437179005,0.336924297,3,8.06
139.6,209.4,0,192,0,1047,806.9,2394.9,0.058290534,0.087435801,0,0.080170362,0,0.437179005,0.336924297,180,44.21
380,0,0,228,0,932,670,2210,0.171945701,0,0,0.103167421,0,0.421719457,0.303167421,365,52.52
380,0,0,228,0,932,670,2210,0.171945701,0,0,0.103167421,0,0.421719457,0.303167421,270,53.3
380,95,0,228,0,932,594,2229,0.170480036,0.042620009,0,0.102288022,0,0.41812472,0.266487214,270,41.15
342,38,0,228,0,932,670,2210,0.154751131,0.01719457,0,0.103167421,0,0.421719457,0.303167421,180,52.12
427.5,47.5,0,228,0,932,594,2229,0.19179004,0.021310004,0,0.102288022,0,0.41812472,0.266487214,28,37.43
475,0,0,228,0,932,594,2229,0.213100045,0,0,0.102288022,0,0.41812472,0.266487214,7,38.6
304,76,0,228,0,932,670,2210,0.137556561,0.03438914,0,0.103167421,0,0.421719457,0.303167421,365,55.26
266,114,0,228,0,932,670,2210,0.120361991,0.05158371,0,0.103167421,0,0.421719457,0.303167421,365,52.91
198.6,132.4,0,192,0,978.4,825.5,2326.9,0.085349607,0.056899738,0,0.082513215,0,0.420473591,0.354763849,180,41.72
475,0,0,228,0,932,594,2229,0.213100045,0,0,0.102288022,0,0.41812472,0.266487214,270,42.13
190,190,0,228,0,932,670,2210,0.085972851,0.085972851,0,0.103167421,0,0.421719457,0.303167421,365,53.69
237.5,237.5,0,228,0,932,594,2229,0.106550022,0.106550022,0,0.102288022,0,0.41812472,0.266487214,270,38.41
237.5,237.5,0,228,0,932,594,2229,0.106550022,0.106550022,0,0.102288022,0,0.41812472,0.266487214,28,30.08
332.5,142.5,0,228,0,932,594,2229,0.149170031,0.063930013,0,0.102288022,0,0.41812472,0.266487214,90,37.72
475,0,0,228,0,932,594,2229,0.213100045,0,0,0.102288022,0,0.41812472,0.266487214,90,42.23
237.5,237.5,0,228,0,932,594,2229,0.106550022,0.106550022,0,0.102288022,0,0.41812472,0.266487214,180,36.25
342,38,0,228,0,932,670,2210,0.154751131,0.01719457,0,0.103167421,0,0.421719457,0.303167421,90,50.46
427.5,47.5,0,228,0,932,594,2229,0.19179004,0.021310004,0,0.102288022,0,0.41812472,0.266487214,365,43.7
237.5,237.5,0,228,0,932,594,2229,0.106550022,0.106550022,0,0.102288022,0,0.41812472,0.266487214,365,39
380,0,0,228,0,932,670,2210,0.171945701,0,0,0.103167421,0,0.421719457,0.303167421,180,53.1
427.5,47.5,0,228,0,932,594,2229,0.19179004,0.021310004,0,0.102288022,0,0.41812472,0.266487214,90,41.54
427.5,47.5,0,228,0,932,594,2229,0.19179004,0.021310004,0,0.102288022,0,0.41812472,0.266487214,7,35.08
349,0,0,192,0,1047,806.9,2394.9,0.145726335,0,0,0.080170362,0,0.437179005,0.336924297,3,15.05
380,95,0,228,0,932,594,2229,0.170480036,0.042620009,0,0.102288022,0,0.41812472,0.266487214,180,40.76
237.5,237.5,0,228,0,932,594,2229,0.106550022,0.106550022,0,0.102288022,0,0.41812472,0.266487214,7,26.26
380,95,0,228,0,932,594,2229,0.170480036,0.042620009,0,0.102288022,0,0.41812472,0.266487214,7,32.82
332.5,142.5,0,228,0,932,594,2229,0.149170031,0.063930013,0,0.102288022,0,0.41812472,0.266487214,180,39.78
190,190,0,228,0,932,670,2210,0.085972851,0.085972851,0,0.103167421,0,0.421719457,0.303167421,180,46.93
237.5,237.5,0,228,0,932,594,2229,0.106550022,0.106550022,0,0.102288022,0,0.41812472,0.266487214,90,33.12
304,76,0,228,0,932,670,2210,0.137556561,0.03438914,0,0.103167421,0,0.421719457,0.303167421,90,49.19
139.6,209.4,0,192,0,1047,806.9,2394.9,0.058290534,0.087435801,0,0.080170362,0,0.437179005,0.336924297,7,14.59
198.6,132.4,0,192,0,978.4,825.5,2326.9,0.085349607,0.056899738,0,0.082513215,0,0.420473591,0.354763849,7,14.64
475,0,0,228,0,932,594,2229,0.213100045,0,0,0.102288022,0,0.41812472,0.266487214,365,41.93
198.6,132.4,0,192,0,978.4,825.5,2326.9,0.085349607,0.056899738,0,0.082513215,0,0.420473591,0.354763849,3,9.13
304,76,0,228,0,932,670,2210,0.137556561,0.03438914,0,0.103167421,0,0.421719457,0.303167421,180,50.95
332.5,142.5,0,228,0,932,594,2229,0.149170031,0.063930013,0,0.102288022,0,0.41812472,0.266487214,28,33.02
304,76,0,228,0,932,670,2210,0.137556561,0.03438914,0,0.103167421,0,0.421719457,0.303167421,270,54.38
266,114,0,228,0,932,670,2210,0.120361991,0.05158371,0,0.103167421,0,0.421719457,0.303167421,270,51.73
310,0,0,192,0,971,850.6,2323.6,0.133413668,0,0,0.082630401,0,0.417886039,0.366069892,3,9.87
190,190,0,228,0,932,670,2210,0.085972851,0.085972851,0,0.103167421,0,0.421719457,0.303167421,270,50.66
266,114,0,228,0,932,670,2210,0.120361991,0.05158371,0,0.103167421,0,0.421719457,0.303167421,180,48.7
342,38,0,228,0,932,670,2210,0.154751131,0.01719457,0,0.103167421,0,0.421719457,0.303167421,270,55.06
139.6,209.4,0,192,0,1047,806.9,2394.9,0.058290534,0.087435801,0,0.080170362,0,0.437179005,0.336924297,360,44.7
332.5,142.5,0,228,0,932,594,2229,0.149170031,0.063930013,0,0.102288022,0,0.41812472,0.266487214,7,30.28
190,190,0,228,0,932,670,2210,0.085972851,0.085972851,0,0.103167421,0,0.421719457,0.303167421,28,40.86
485,0,0,146,0,1120,800,2551,0.190121521,0,0,0.057232458,0,0.439043512,0.313602509,28,71.99
374,189.2,0,170.1,10.1,926.1,756.7,2426.2,0.154150523,0.07798203,0,0.070109636,0.004162888,0.381708021,0.311886901,3,34.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,2418.3,0.129553819,0.108423273,0,0.072571641,0.003556217,0.432907414,0.252987636,3,28.8
425,106.3,0,153.5,16.5,852.1,887.1,2440.5,0.174144642,0.043556648,0,0.062896947,0.00676091,0.349149764,0.363491088,3,33.4
425,106.3,0,151.4,18.6,936,803.7,2441,0.174108972,0.043547726,0,0.062023761,0.007619828,0.383449406,0.329250307,3,36.3
375,93.8,0,126.6,23.4,852.1,992.6,2463.5,0.152222448,0.038075908,0,0.051390298,0.009498681,0.345889994,0.402922671,3,29
475,118.8,0,181.1,8.9,852.1,781.5,2417.4,0.196492099,0.049143708,0,0.074915198,0.003681641,0.352486142,0.323281211,3,37.8
469,117.2,0,137.8,32.2,852.1,840.5,2448.8,0.191522378,0.047860176,0,0.05627246,0.013149298,0.347966351,0.343229337,3,40.2
425,106.3,0,153.5,16.5,852.1,887.1,2440.5,0.174144642,0.043556648,0,0.062896947,0.00676091,0.349149764,0.363491088,3,33.4
388.6,97.1,0,157.9,12.1,852.1,925.7,2433.5,0.159687693,0.039901377,0,0.064885967,0.004972262,0.350154099,0.380398603,3,28.1
531.3,0,0,141.8,28.2,852.1,893.7,2447.1,0.217114135,0,0,0.05794614,0.011523845,0.348208083,0.365207797,3,41.3
425,106.3,0,153.5,16.5,852.1,887.1,2440.5,0.174144642,0.043556648,0,0.062896947,0.00676091,0.349149764,0.363491088,3,33.4
318.8,212.5,0,155.7,14.3,852.1,880.4,2433.8,0.130988578,0.087312022,0,0.063974032,0.005875586,0.350110938,0.361738845,3,25.2
401.8,94.7,0,147.4,11.4,946.8,852.1,2454.2,0.163719338,0.038586912,0,0.060060305,0.004645098,0.385787629,0.347200717,3,41.1
362.6,189,0,164.9,11.6,944.7,755.8,2428.6,0.149304126,0.077822614,0,0.067899201,0.004776414,0.388989541,0.311208103,3,35.3
323.7,282.8,0,183.8,10.3,942.7,659.9,2403.2,0.134695406,0.117676431,0,0.076481358,0.004285952,0.392268642,0.27459221,3,28.3
379.5,151.2,0,153.9,15.9,1134.3,605,2439.8,0.155545537,0.061972293,0,0.063078941,0.006516928,0.464915157,0.247971145,3,28.6
362.6,189,0,164.9,11.6,944.7,755.8,2428.6,0.149304126,0.077822614,0,0.067899201,0.004776414,0.388989541,0.311208103,3,35.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,2451.4,0.116790405,0.08195317,0,0.059027494,0.004568818,0.409806641,0.327853471,3,24.4
362.6,189,0,164.9,11.6,944.7,755.8,2428.6,0.149304126,0.077822614,0,0.067899201,0.004776414,0.388989541,0.311208103,3,35.3
439,177,0,186,11.1,884.9,707.9,2405.9,0.182468099,0.073569143,0,0.077309946,0.004613658,0.367804148,0.294235006,3,39.3
389.9,189,0,145.9,22,944.7,755.8,2447.3,0.159318433,0.077227966,0,0.05961672,0.008989499,0.386017243,0.308830139,3,40.6
362.6,189,0,164.9,11.6,944.7,755.8,2428.6,0.149304126,0.077822614,0,0.067899201,0.004776414,0.388989541,0.311208103,3,35.3
337.9,189,0,174.9,9.5,944.7,755.8,2411.8,0.140102828,0.078364707,0,0.072518451,0.003938967,0.391699146,0.313375902,3,24.1
374,189.2,0,170.1,10.1,926.1,756.7,2426.2,0.154150523,0.07798203,0,0.070109636,0.004162888,0.381708021,0.311886901,7,46.2
313.3,262.2,0,175.5,8.6,1046.9,611.8,2418.3,0.129553819,0.108423273,0,0.072571641,0.003556217,0.432907414,0.252987636,7,42.8
425,106.3,0,153.5,16.5,852.1,887.1,2440.5,0.174144642,0.043556648,0,0.062896947,0.00676091,0.349149764,0.363491088,7,49.2
425,106.3,0,151.4,18.6,936,803.7,2441,0.174108972,0.043547726,0,0.062023761,0.007619828,0.383449406,0.329250307,7,46.8
375,93.8,0,126.6,23.4,852.1,992.6,2463.5,0.152222448,0.038075908,0,0.051390298,0.009498681,0.345889994,0.402922671,7,45.7
475,118.8,0,181.1,8.9,852.1,781.5,2417.4,0.196492099,0.049143708,0,0.074915198,0.003681641,0.352486142,0.323281211,7,55.6
469,117.2,0,137.8,32.2,852.1,840.5,2448.8,0.191522378,0.047860176,0,0.05627246,0.013149298,0.347966351,0.343229337,7,54.9
425,106.3,0,153.5,16.5,852.1,887.1,2440.5,0.174144642,0.043556648,0,0.062896947,0.00676091,0.349149764,0.363491088,7,49.2
388.6,97.1,0,157.9,12.1,852.1,925.7,2433.5,0.159687693,0.039901377,0,0.064885967,0.004972262,0.350154099,0.380398603,7,34.9
531.3,0,0,141.8,28.2,852.1,893.7,2447.1,0.217114135,0,0,0.05794614,0.011523845,0.348208083,0.365207797,7,46.9
425,106.3,0,153.5,16.5,852.1,887.1,2440.5,0.174144642,0.043556648,0,0.062896947,0.00676091,0.349149764,0.363491088,7,49.2
318.8,212.5,0,155.7,14.3,852.1,880.4,2433.8,0.130988578,0.087312022,0,0.063974032,0.005875586,0.350110938,0.361738845,7,33.4
401.8,94.7,0,147.4,11.4,946.8,852.1,2454.2,0.163719338,0.038586912,0,0.060060305,0.004645098,0.385787629,0.347200717,7,54.1
362.6,189,0,164.9,11.6,944.7,755.8,2428.6,0.149304126,0.077822614,0,0.067899201,0.004776414,0.388989541,0.311208103,7,55.9
323.7,282.8,0,183.8,10.3,942.7,659.9,2403.2,0.134695406,0.117676431,0,0.076481358,0.004285952,0.392268642,0.27459221,7,49.8
